"X","project","language","article","access","agent","granularity","date","views"
74,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-12,157
75,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-13,203
76,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-14,357
77,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-15,285
78,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-16,299
79,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-17,273
80,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-18,255
81,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-19,215
82,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-20,225
83,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-21,302
84,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-22,309
85,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-23,190
86,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-24,178
87,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-25,215
88,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-26,231
89,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-27,223
90,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-28,335
91,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-29,283
92,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-09-30,266
93,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-01,246
94,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-02,249
95,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-03,185
96,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-04,233
97,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-05,294
98,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-06,327
99,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-07,276
100,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-08,281
101,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-09,246
102,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-10,194
103,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-11,164
104,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-12,277
105,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-13,240
106,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-14,234
107,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-15,285
108,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-16,284
109,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-17,212
110,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-18,200
111,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-19,336
112,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-20,346
113,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-21,319
114,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-22,309
115,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-23,271
116,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-24,186
117,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-25,277
118,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-26,386
119,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-27,408
120,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-28,368
121,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-29,309
122,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-30,291
123,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-10-31,221
124,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-01,256
125,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-02,280
126,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-03,347
127,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-04,349
128,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-05,338
129,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-06,257
130,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-07,179
131,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-08,215
132,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-09,296
133,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-10,330
134,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-11,292
135,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-12,317
136,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-13,243
137,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-14,182
138,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-15,272
139,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-16,327
140,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-17,349
141,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-18,294
142,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-19,306
143,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-20,246
144,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-21,219
145,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-22,244
146,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-23,353
147,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-24,331
148,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-25,356
149,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-26,311
150,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-27,245
151,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-28,198
152,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-29,220
153,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-11-30,314
154,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-01,311
155,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-02,349
156,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-03,314
157,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-04,330
158,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-05,225
159,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-06,276
160,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-07,358
161,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-08,253
162,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-09,214
163,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-10,262
164,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-11,236
165,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-12,148
166,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-13,248
167,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-14,343
168,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-15,352
169,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-16,310
170,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-17,301
171,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-18,212
172,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-19,174
173,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-20,187
174,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-21,215
175,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-22,217
176,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-23,142
177,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-24,122
178,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-25,111
179,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-26,142
180,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-27,123
181,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-28,199
182,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-29,155
183,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-30,136
184,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2015-12-31,92
185,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-01,103
186,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-02,150
187,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-03,150
188,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-04,227
189,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-05,290
190,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-06,279
191,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-07,304
192,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-08,238
193,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-09,202
194,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-10,220
195,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-11,383
196,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-12,364
197,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-13,376
198,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-14,276
199,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-15,237
200,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-16,225
201,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-17,267
202,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-18,369
203,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-19,347
204,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-20,373
205,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-21,303
206,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-22,248
207,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-23,179
208,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-24,246
209,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-25,316
210,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-26,355
211,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-27,346
212,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-28,276
213,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-29,220
214,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-30,213
215,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-01-31,277
216,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-01,316
217,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-02,344
218,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-03,374
219,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-04,294
220,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-05,258
221,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-06,187
222,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-07,150
223,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-08,247
224,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-09,256
225,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-10,349
226,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-11,321
227,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-12,288
228,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-13,232
229,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-14,258
230,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-15,304
231,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-16,299
232,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-17,415
233,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-18,378
234,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-19,335
235,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-20,233
236,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-21,585
237,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-22,497
238,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-23,437
239,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-24,445
240,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-25,413
241,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-26,438
242,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-27,318
243,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-28,242
244,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-02-29,395
245,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-01,422
246,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-02,393
247,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-03,383
248,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-04,402
249,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-05,294
250,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-06,332
251,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-07,360
252,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-08,313
253,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-09,243
254,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-10,289
255,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-11,280
256,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-12,258
257,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-13,310
258,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-14,369
259,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-15,388
260,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-16,353
261,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-17,373
262,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-18,345
263,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-19,216
264,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-20,280
265,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-21,398
266,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-22,384
267,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-23,382
268,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-24,301
269,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-25,224
270,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-26,201
271,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-27,256
272,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-28,357
273,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-29,406
274,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-30,426
275,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-03-31,373
276,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-01,260
277,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-02,200
278,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-03,242
279,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-04,309
280,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-05,337
281,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-06,366
282,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-07,355
283,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-08,268
284,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-09,221
285,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-10,238
286,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-11,377
287,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-12,382
288,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-13,335
289,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-14,327
290,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-15,293
291,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-16,237
292,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-17,264
293,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-18,329
294,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-19,289
295,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-20,319
296,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-21,329
297,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-22,335
298,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-23,277
299,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-24,219
300,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-25,389
301,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-26,387
302,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-27,409
303,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-28,360
304,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-29,288
305,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-04-30,241
306,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-01,216
307,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-02,328
308,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-03,341
309,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-04,269
310,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-05,138
311,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-06,147
312,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-07,192
313,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-08,178
314,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-09,290
315,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-10,320
316,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-11,309
317,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-12,322
318,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-13,233
319,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-14,232
320,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-15,240
321,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-16,347
322,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-17,344
323,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-18,322
324,"wikipedia","id","Bank_Central_Asia","all-access","all-agents","daily",2016-05-19,309
